country,code,region,year,gdp_pc_usd,che_pc_usd
Afghanistan,AFG,EMR,2021,372.54878411,81.31976317999998
Albania,ALB,EUR,2021,6394.97073749,464.74285889000004
Algeria,DZA,AFR,2021,3700.3241526799998,204.56661987
Andorra,AND,EUR,2021,42066.04151447999,3505.991455080001
Angola,AGO,AFR,2021,2167.6053494600005,64.16342162999999
Antigua and Barbuda,ATG,AMR,2021,15781.15213138,923.4072876
Argentina,ARG,AMR,2021,10761.08162646,1044.77270508
Armenia,ARM,EUR,2021,4966.5169629600005,612.78094482
Australia,AUS,WPR,2021,66915.8742592,7055.36816406
Austria,AUT,EUR,2021,53776.62067955999,6504.807617190001
Azerbaijan,AZE,EUR,2021,5296.46016739,249.07528687000004
Bahamas,BHS,AMR,2021,27479.40393057,1961.67785645
Bahrain,BHR,EMR,2021,26859.918814910005,1146.47277832
Bangladesh,BGD,SEAR,2021,2449.90655447,57.93856812000001
Barbados,BRB,AMR,2021,17309.774732890004,1400.43579102
Belarus,BLR,EUR,2021,7120.92169057,467.52413939999985
Belgium,BEL,EUR,2021,51437.824143599995,5680.231445309999
Belize,BLZ,AMR,2021,6228.2673092800005,310.19500731999995
Benin,BEN,AFR,2021,1360.9115068000003,35.129146580000004
Bhutan,BTN,SEAR,2021,3131.74265283,120.43117522999997
Bolivia (Plurinational State of),BOL,AMR,2021,3345.19993213,272.95922852
Bosnia and Herzegovina,BIH,EUR,2021,7230.18560988,691.5258789100001
Botswana,BWA,AFR,2021,7250.619192920001,457.4629821799999
Brazil,BRA,AMR,2021,7696.785129759999,761.2677612299999
Brunei Darussalam,BRN,WPR,2021,31448.86609819,693.40557861
Bulgaria,BGR,EUR,2021,12155.865899380002,1040.02294922
Burkina Faso,BFA,AFR,2021,893.08092659,56.950981139999996
Burundi,BDI,AFR,2021,266.63863267999994,24.269208909999996
Cabo Verde,CPV,AFR,2021,3590.896999130001,247.90794373000003
Cambodia,KHM,WPR,2021,1625.2350286900003,122.41645813
Cameroon,CMR,AFR,2021,1668.0123297900002,63.78601837
Canada,CAN,AMR,2022,55646.26283993999,6207.181640629999
Central African Republic,CAF,AFR,2021,473.37157914,42.92785645000001
Chad,TCD,AFR,2021,686.5057813600001,35.631179810000006
Chile,CHL,AMR,2022,15338.201367249998,1380.68823242
China,CHN,WPR,2021,12454.749867649998,670.5145874
Colombia,COL,AMR,2021,6182.70705872,557.5394897499999
Comoros,COM,AFR,2021,1563.30207121,99.03723907000001
Congo,COG,AFR,2021,2077.6018086299996,80.51492309999999
Cook Islands,COK,WPR,2021,19264.456524279998,736.66375732
Costa Rica,CRI,AMR,2021,12537.256317529998,948.9216308599998
Croatia,HRV,EUR,2021,17094.297094939997,1384.1191406299997
Cuba,CUB,AMR,2021,,
Cyprus,CYP,EUR,2021,31708.907281090003,2989.6528320299994
Czechia,CZE,EUR,2021,26331.254122989998,2498.51660156
Côte d'Ivoire,CIV,AFR,2021,2613.3787443599995,81.86914825
Democratic Republic of the Congo,COD,AFR,2021,589.58457539,22.32123756
Denmark,DNK,EUR,2022,66674.03050599,6331.704589839999
Djibouti,DJI,EMR,2021,3050.31876336,87.74766541
Dominica,DMA,AMR,2021,7416.358184530001,482.42965698
Dominican Republic,DOM,AMR,2021,8476.749146099999,416.89974975999996
Ecuador,ECU,AMR,2021,5965.140399589999,494.30838012999993
Egypt,EGY,EMR,2021,3898.0197077000003,179.68119811999998
El Salvador,SLV,AMR,2021,4551.193803460001,442.21374511999994
